	City	zipcode	paymentfrequency	maturitydate	current_days_past_due	last_repayment_date	amount_at_risk
0	12olki	19473	1271803.806	04/30/2024	-1066 days	2021-05-16	0.0
1	12olki	19473	1271803.806	04/30/2024	0 days	2021-05-16	0.0
2	12olki	19473	1271803.806	04/30/2024	-31 days	2021-05-16	0.0
3	12olki	19473	1271803.806	04/30/2024	-61 days	2021-05-16	0.0
4	12olki	19473	1271803.806	04/30/2024	-92 days	2021-05-16	0.0
5	12olki	19473	1271803.806	04/30/2024	-123 days	2021-05-16	0.0
6	12olki	19473	1271803.806	04/30/2024	-153 days	2021-05-16	0.0
7	12olki	19473	1271803.806	04/30/2024	-184 days	2021-05-16	0.0
8	12olki	19473	1271803.806	04/30/2024	-214 days	2021-05-16	0.0
9	12olki	19473	1271803.806	04/30/2024	-245 days	2021-05-16	0.0
10	12olki	19473	1271803.806	04/30/2024	-276 days	2021-05-16	0.0
11	12olki	19473	1271803.806	04/30/2024	-304 days	2021-05-16	0.0
12	12olki	19473	1271803.806	04/30/2024	-335 days	2021-05-16	0.0
13	12olki	19473	1271803.806	04/30/2024	-365 days	2021-05-16	0.0
14	12olki	19473	1271803.806	04/30/2024	-396 days	2021-05-16	0.0
15	12olki	19473	1271803.806	04/30/2024	-426 days	2021-05-16	0.0
16	12olki	19473	1271803.806	04/30/2024	-457 days	2021-05-16	0.0
17	12olki	19473	1271803.806	04/30/2024	-488 days	2021-05-16	0.0
18	12olki	19473	1271803.806	04/30/2024	-518 days	2021-05-16	0.0
19	12olki	19473	1271803.806	04/30/2024	-549 days	2021-05-16	0.0
20	12olki	19473	1271803.806	04/30/2024	-579 days	2021-05-16	0.0
21	12olki	19473	1271803.806	04/30/2024	-610 days	2021-05-16	0.0
22	12olki	19473	1271803.806	04/30/2024	-641 days	2021-05-16	0.0
23	12olki	19473	1271803.806	04/30/2024	-669 days	2021-05-16	0.0
24	12olki	19473	1271803.806	04/30/2024	-700 days	2021-05-16	0.0
25	12olki	19473	1271803.806	04/30/2024	-730 days	2021-05-16	0.0
26	12olki	19473	1271803.806	04/30/2024	-761 days	2021-05-16	0.0
27	12olki	19473	1271803.806	04/30/2024	-791 days	2021-05-16	0.0
28	12olki	19473	1271803.806	04/30/2024	-822 days	2021-05-16	0.0
29	12olki	19473	1271803.806	04/30/2024	-853 days	2021-05-16	0.0
30	12olki	19473	1271803.806	04/30/2024	-883 days	2021-05-16	0.0
31	12olki	19473	1271803.806	04/30/2024	-914 days	2021-05-16	0.0
32	12olki	19473	1271803.806	04/30/2024	-944 days	2021-05-16	0.0
33	12olki	19473	1271803.806	04/30/2024	-975 days	2021-05-16	0.0
34	12olki	19473	1271803.806	04/30/2024	-1006 days	2021-05-16	0.0
35	12olki	19473	1271803.806	04/30/2024	-1035 days	2021-05-16	0.0
36	12olki	19473	1271803.806	04/30/2024	-273 days	2021-06-16	1271803.806
37	12olki	19473	1271803.806	04/30/2024	-1035 days	2021-06-16	1271803.806
38	12olki	19473	1271803.806	04/30/2024	-1004 days	2021-06-16	1271803.806
39	12olki	19473	1271803.806	04/30/2024	-975 days	2021-06-16	1271803.806
40	12olki	19473	1271803.806	04/30/2024	-944 days	2021-06-16	1271803.806
41	12olki	19473	1271803.806	04/30/2024	-913 days	2021-06-16	1271803.806
42	12olki	19473	1271803.806	04/30/2024	-883 days	2021-06-16	1271803.806
43	12olki	19473	1271803.806	04/30/2024	-852 days	2021-06-16	1271803.806
44	12olki	19473	1271803.806	04/30/2024	-822 days	2021-06-16	1271803.806
45	12olki	19473	1271803.806	04/30/2024	-791 days	2021-06-16	1271803.806
46	12olki	19473	1271803.806	04/30/2024	-760 days	2021-06-16	1271803.806
47	12olki	19473	1271803.806	04/30/2024	-730 days	2021-06-16	1271803.806
48	12olki	19473	1271803.806	04/30/2024	-699 days	2021-06-16	1271803.806
49	12olki	19473	1271803.806	04/30/2024	-669 days	2021-06-16	1271803.806
50	12olki	19473	1271803.806	04/30/2024	-638 days	2021-06-16	1271803.806
51	12olki	19473	1271803.806	04/30/2024	-610 days	2021-06-16	1271803.806
52	12olki	19473	1271803.806	04/30/2024	-579 days	2021-06-16	1271803.806
53	12olki	19473	1271803.806	04/30/2024	-548 days	2021-06-16	1271803.806
54	12olki	19473	1271803.806	04/30/2024	-518 days	2021-06-16	1271803.806
55	12olki	19473	1271803.806	04/30/2024	-487 days	2021-06-16	1271803.806
56	12olki	19473	1271803.806	04/30/2024	-457 days	2021-06-16	1271803.806
57	12olki	19473	1271803.806	04/30/2024	-426 days	2021-06-16	1271803.806
58	12olki	19473	1271803.806	04/30/2024	-395 days	2021-06-16	1271803.806
59	12olki	19473	1271803.806	04/30/2024	-365 days	2021-06-16	1271803.806
60	12olki	19473	1271803.806	04/30/2024	-334 days	2021-06-16	1271803.806
61	12olki	19473	1271803.806	04/30/2024	-304 days	2021-06-16	1271803.806
62	12olki	19473	1271803.806	04/30/2024	-245 days	2021-06-16	1271803.806
63	12olki	19473	1271803.806	04/30/2024	-214 days	2021-06-16	1271803.806
64	12olki	19473	1271803.806	04/30/2024	-183 days	2021-06-16	1271803.806
65	12olki	19473	1271803.806	04/30/2024	-153 days	2021-06-16	1271803.806
66	12olki	19473	1271803.806	04/30/2024	-122 days	2021-06-16	1271803.806
67	12olki	19473	1271803.806	04/30/2024	-92 days	2021-06-16	1271803.806
